rea_time,goResp,hitGoal,subject,session,block,trial,response_cat,sampleTimeMsGo_01,sampleTimeMsGo_02,sampleTimeMsGo_03,sampleTimeMsGo_04,sampleTimeMsGo_05,sampleTimeMsGo_06,samplePosDegAtt_01,samplePosDegAtt_02,samplePosDegAtt_03,samplePosDegAtt_04,samplePosDegAtt_05,samplePosDegAtt_06,sampleAccprobHit_01,sampleAccprobHit_02,sampleAccprobHit_03,sampleAccprobHit_04,sampleAccprobHit_05,sampleAccprobHit_06,sampleProbHit_01,sampleProbHit_02,sampleProbHit_03,sampleProbHit_04,sampleProbHit_05,sampleProbHit_06,answer
0.4324246,1,0,o1,1,1,2,FALSE ALARM,2,165,332,498,665,832,4.111232497,7.035309949,6.172519911,5.513014051,3.548310268,4.510780667,0.486095938,0.190052161,0.190052161,0.190052161,0.213758029,0.213758029,0.486095938,0.120586256,0.228435011,0.310873244,0.556461217,0.436152417,0
0.4501436,1,1,o1,1,1,4,HIT,0,166,333,499,666,833,-0.669894205,5.612948231,5.618050027,1.032441801,-0.412555664,2.643792364,0.916263224,1,1,1,1,1,0.916263224,0.298381471,0.297743747,0.870944775,0.948430542,0.669525955,1
0.43292284,1,1,o1,1,1,6,HIT,0,166,333,499,666,833,-0.32406094,-3.201755102,-5.23690255,-5.548253726,-2.603145927,1.720740433,0.959492383,0.93673534,0.895029377,0.883255243,0.883255243,1,0.959492383,0.599780612,0.345387181,0.306468284,0.674606759,0.784907446,1
0.62473064,1,1,o1,1,1,8,HIT,0,166,333,500,666,833,0.835449223,3.827818752,5.136737863,5.792528767,-1.708368415,5.467757947,0.895568847,0.833164762,0.774124244,0.725444935,1,1,0.895568847,0.521522656,0.357907767,0.275933904,0.786453948,0.316530257,1
0.44980172,1,0,o1,1,1,10,FALSE ALARM,0,166,333,500,666,833,-5.051522727,-6.294752892,-4.051917972,-4.633155145,-4.589849116,-7.486056516,0.368559659,0.252376084,0.296195625,0.296195625,0.296195625,0.112562216,0.368559659,0.213155889,0.493510253,0.420855607,0.426268861,0.064242935,0
0.67418176,1,0,o1,1,1,11,FALSE ALARM,0,166,333,500,666,833,-7.267735292,-2.463745416,-4.664422889,-5.938357314,-5.192953378,-2.290984494,0.091533088,0.229118394,0.229118394,0.229118394,0.229118394,0.242211164,0.091533088,0.692031823,0.416947139,0.257705336,0.350880828,0.713626938,0
,0,1,o1,1,1,12,MISS,0,167,334,500,668,833,-5.085816498,-2.974321578,-4.31469439,-4.487771577,-1.652376458,1.251485312,0.364272938,0.494893604,0.494893604,0.494893604,0.638157284,1,0.364272938,0.628209803,0.460663201,0.439028553,0.793452943,0.843564336,0
,0,0,o1,1,1,13,CORRECT REJECTION,0,166,333,499,666,833,8.865681782,9.003421331,9.121630135,8.839739794,5.876509713,3.247751645,0,0,0,0,0,0,0,0,0,0,0.265436286,0.594031044,1
0.54972308,1,1,o1,1,1,14,HIT,0,166,333,499,666,832,-0.460071747,-3.20105883,-4.541380259,-1.583638167,-4.386726027,-0.965542953,0.942491032,0.912517471,0.882595568,0.882595568,0.882595568,0.882595568,0.942491032,0.599867646,0.432327468,0.802045229,0.451659247,0.879307131,1
0.43251484,1,1,o1,1,1,16,HIT,0,166,333,499,666,833,-0.79679203,5.551068068,0.866528153,2.476826856,6.063578318,5.860474976,0.900400996,1,1,1,1,1,0.900400996,0.306116491,0.891683981,0.690396643,0.24205271,0.267440628,1
,0,0,o1,1,1,17,CORRECT REJECTION,0,166,333,499,666,833,8.189939985,7.699695123,9.445821236,4.241589317,2.238092849,6.938381608,0,0,0,0,0,0,0,0.03753811,0,0.469801335,0.720238394,0.132702299,1
0.4991816,1,1,o1,1,1,19,HIT,0,165,332,499,666,832,-1.063652322,-0.636572372,0.452087525,1.580968213,-1.620635518,0.675044637,0.86704346,0.915940962,1,1,1,1,0.86704346,0.920428454,0.943489059,0.802378973,0.79742056,0.91561942,1
,0,0,o1,1,1,21,CORRECT REJECTION,0,166,333,499,666,833,-2.921974817,-6.66086247,-2.923580084,-4.248139248,-5.676876594,-3.393139886,0.634753148,0.314269473,0.314269473,0.314269473,0.314269473,0.314269473,0.634753148,0.167392191,0.634552489,0.468982594,0.290390426,0.575857514,1
